profundidad,edad_min,edad_max,edad_median,edad_mean,Abies,Acacia,Agave,Alnus_oblongifolia,Arbutus,Berberis,Bursera_,Cactoideae,Canotia,Ceiba,Celtis,Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea_viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia_aculeata,Picea,Pinus,Prosopis,Quercus,Rosaceae,Rutaceae,Salix,Sambucus_type,Tecoma_stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia_ludoviciana,Asteroideae,Boerhavia_type,Boraginaceae,Brassicaceae,Callaeum_macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Cucurbitaceae,Cyperaceae,Dalea,Eriogonum,Eustoma,Euphorbiaceae,Evolvulus,Faboideae,Gentianaceae,Ipomoea,Kallstroemia,Lamiaceae,Lippia_type,Lotus_type,Lythrum,Malvaceae,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Cerealia,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rubiaceae,Solanaceae,Tribulus,Trixis_californica,Typha,Urtica,Verbenaceae,Zea_mays,Zygophyllaceae,Pteridophyta,Total
45,1283,2365,1789,1797,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0.238,0,0,0,0,0,0.003,0,0.176,0.041,0,0.003,0.197,0.01,0,0.003,0,0,0,0,0,0,0,0,0.028,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0.01,0,0,0.003,0,0.017,0.969
48,1384,2503,1910,1917,0,0,0,0,0,0,0,0,0.007,0,0.013,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0.047,0,0.067,0,0,0,0,0,0,0,0.107,0.067,0,0.02,0.315,0.027,0,0,0,0,0.007,0.007,0,0.007,0,0,0.027,0,0,0,0.02,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.966
51,1497,2635,2026,2036,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0.015,0,0,0.06,0,0,0.06,0,0.075,0,0,0,0,0,0,0,0.104,0,0,0.119,0.149,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925
54,1582,2758,2152,2159,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.012,0.095,0,0,0,0.018,0,0,0,0.184,0.049,0,0.037,0.291,0,0,0.006,0,0,0.018,0,0,0,0,0,0.031,0,0,0,0.009,0.003,0,0.006,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.113,0,0,0,0,0,0,0,0,0.003,0.021,0,0,0,0,0.025,0.972
57,1696,2877,2273,2278,0,0,0,0,0,0,0,0.009,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.019,0.009,0,0.047,0,0.159,0,0,0,0,0,0,0,0.271,0.047,0,0.019,0.131,0.009,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.944
60,1808,3017,2392,2401,0,0,0,0,0,0,0.01,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.101,0,0.061,0,0,0,0,0,0.01,0,0.232,0.03,0,0,0.232,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.939
63,1923,3138,2516,2521,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0.113,0,0,0,0,0,0.01,0,0.381,0.021,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0.01,0.031,0,0,0,0,0,0.969
69,2151,3395,2760,2765,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0.218,0,0,0,0,0,0,0,0.15,0.024,0,0.015,0.248,0.005,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.005,0.966
87,2865,4113,3485,3488,0,0,0,0,0,0,0,0.007,0.011,0,0.015,0,0,0,0,0,0,0,0.007,0,0,0.004,0,0,0.052,0,0.074,0,0,0,0,0,0,0,0.145,0.011,0,0.011,0.379,0.045,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0.007,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.963
90,2985,4240,3604,3608,0,0,0.006,0,0,0,0.003,0.003,0.018,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.003,0.079,0,0,0,0,0,0,0,0.221,0.018,0,0,0.291,0.015,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.003,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0.006,0.958
93,3095,4363,3730,3731,0,0,0,0,0,0,0.016,0,0.003,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.056,0.003,0.129,0,0,0,0,0,0.003,0,0.232,0.019,0,0.003,0.285,0.006,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.978
96,3232,4477,3856,3851,0,0,0,0,0,0,0,0.003,0.026,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.054,0,0.128,0,0,0,0.003,0,0,0,0.256,0.029,0,0,0.3,0.003,0,0,0,0,0.006,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974
